"","feature","task","shap_phi","fname","group","taxa"
"115","bio_14",4,23.3425267647346,"PDryM","precipitation","AlChlo_ChIn"
"116","bio_15",4,39.7348708822066,"PSeason","precipitation","AlChlo_ChIn"
"117","bio_16",4,25.6392526927637,"PWetQ","precipitation","AlChlo_ChIn"
"118","bio_17",4,4.91846889863023,"PDryQ","precipitation","AlChlo_ChIn"
"119","bio_18",4,51.9608377792942,"PWarmQ","precipitation","AlChlo_ChIn"
"120","bio_19",4,80.5099680004036,"PColdQ","precipitation","AlChlo_ChIn"
"121","bio_2",4,30.0444113582652,"TMeanRngD","temperature","AlChlo_ChIn"
"122","bio_3",4,51.4736864924058,"TIso","temperature","AlChlo_ChIn"
"123","bio_4",4,19.7726301125716,"TSeason","temperature","AlChlo_ChIn"
"124","bio_5",4,20.4419382037083,"TMaxWarmM","temperature","AlChlo_ChIn"
"125","bio_6",4,21.1978194928425,"TMinColdM","temperature","AlChlo_ChIn"
"126","bio_7",4,18.6194857495558,"TRngY","temperature","AlChlo_ChIn"
"127","bio_8",4,33.7720129216253,"TMeanWetQ","temperature","AlChlo_ChIn"
"128","bio_9",4,5.03263030782575,"TMeanDryQ","temperature","AlChlo_ChIn"
"129","bs_top",4,17.0101333752787,"bs_top","hydro","AlChlo_ChIn"
"130","Carbone",4,12.6793914697762,"C","physchem","AlChlo_ChIn"
"131","cec_top",4,13.5090253565228,"cec_top","hydro","AlChlo_ChIn"
"132","clay",4,13.7043090316607,"clay","structural","AlChlo_ChIn"
"133","clc",4,46.232215689139,"clc","landcover","AlChlo_ChIn"
"134","CN",4,7.44667857970111,"CN","physchem","AlChlo_ChIn"
"135","crusting",4,33.2317650909675,"crusting","structural","AlChlo_ChIn"
"136","dgh",4,26.4871653480316,"dgh","structural","AlChlo_ChIn"
"137","dimp",4,6.2302249004296,"dimp","structural","AlChlo_ChIn"
"138","erodi",4,15.054648162222,"erodi","structural","AlChlo_ChIn"
"139","parmado",4,20.9195549791236,"parmado","structural","AlChlo_ChIn"
"140","pd_top",4,20.9956058754213,"pd_top","structural","AlChlo_ChIn"
"141","pH",4,8.19153441122035,"pH","physchem","AlChlo_ChIn"
"142","proxi_eau_fast",4,1.30204465725226,"proxi_eau_fast","hydro","AlChlo_ChIn"
"143","silt",4,7.68298088086769,"silt","structural","AlChlo_ChIn"
