0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
3.632932	0.0	4.711217	3.8554597	1.3870864	0.0	0.0	4.588809	0.7955044	1.0390614	2.074424	4.5334063	0.8941656	2.3248038	0.0	1.4735664
5.190596	1.2364285	0.0	2.3567717	0.0	1.9316859	2.0007377	1.1055994	3.8376138	2.4452686	1.7565317	4.524336	0.73623586	1.4598827	0.0	3.519096
6.832343	1.1255682	3.3425913	0.0	0.0	0.0	0.0	0.0	2.6697836	0.5096803	1.378964	2.799002	0.0	2.7674756	0.0	5.371716
2.919811	2.9955301	1.0488	0.0	0.0	0.17238426	2.0439305	0.0	0.2859531	0.0	0.0	0.5205593	3.4050615	1.7671144	1.6687013	0.8730788
2.8616881	3.2738502	4.300125	0.0	1.3535573	0.0	1.1902949	0.0	0.0	0.0	0.0	0.0	3.9726684	1.9071027	2.8863943	1.2493339
2.7887826	3.2616057	4.0552244	0.0	1.0463829	0.0	1.1974401	0.0	0.0	0.0	0.0	0.0	4.148278	1.8565938	2.6690528	1.3419024
0.0	2.8513267	0.0	2.230372	1.6574577	3.7455149	2.0121465	0.8879657	0.68688387	0.0	3.124082	0.0	3.070197	0.0	0.22181982	2.4163465
6.9073763	0.0	4.9560905	0.0	0.0	1.1821454	0.0	0.0	2.9792595	3.9205165	1.8734875	3.7624812	2.0334992	2.7573545	0.0	3.5337057
2.0412407	4.073003	0.9832763	2.4605076	1.8516512	2.901433	2.3392239	0.0	0.0	0.0899387	0.25218624	0.0	2.875153	1.0152744	1.2351687	0.5724465
2.6939483	2.7552612	2.5758505	0.0	2.2376745	3.6059449	3.5598044	0.24501717	2.5169625	1.28484	0.0	0.0757066	2.9443185	1.6404232	2.6263373	0.0
2.7528589	2.75491	2.501726	0.0	2.1198957	2.7732973	3.5465412	0.76017624	2.6337209	1.4594438	0.0	0.09491503	3.7615254	1.2188996	2.6817799	0.29378128
2.7030523	2.7487786	2.6586893	0.0	2.2545588	2.887384	3.5588052	0.6475866	2.5669608	1.432128	0.0	0.0	3.5763817	1.353465	2.7299597	0.32630017
2.818821	0.0	1.6505525	2.4645143	1.1955162	1.0725368	0.0	2.2908564	1.6771334	0.035713017	2.80056	4.844785	0.8844533	3.086523	0.0	2.2946668
3.0195823	0.0	4.868956	3.8620315	1.1953661	0.0	0.0	4.5729737	1.7505078	0.7685211	1.9364218	4.5239472	1.4931195	2.6050565	0.0	0.72909516
3.1303415	0.0	5.0026083	3.736852	1.369569	0.0	0.0	4.6540365	1.723619	0.70221066	1.8640779	4.5067773	1.4623852	2.59041	0.0	0.51197755
3.309514	0.0	4.837723	2.8425272	1.3163971	0.0	0.0	4.936827	1.7260791	0.9333035	1.4697214	4.5218205	2.1949959	2.2068577	0.0	1.1613061
3.7877846	0.0	5.576977	2.9487605	1.8065677	0.0	0.0	4.5699205	0.6148182	0.66625655	1.2338958	4.6395926	0.3711251	2.4098732	0.0	0.0
0.0	0.0	1.8853875	3.520185	2.2097807	0.4050979	0.0	2.5805485	1.2201514	0.0	3.3488274	3.571684	0.45998764	3.969148	0.0	2.55483
2.9948325	0.0	1.4257709	4.623851	3.0222015	0.7148301	1.1960659	2.651926	1.1230043	1.0362985	0.0	3.0412493	1.0619084	3.6801994	0.25493872	2.1448042
2.7849433	3.261632	4.2289457	0.0	1.2403157	0.0	1.1992571	0.0	0.0	0.0	0.0	0.0	3.9804928	1.9331899	2.7983103	1.3638015
2.2239795	2.6687067	3.0023654	0.0	0.23393476	0.0	1.2356654	0.0	0.0	0.0	0.0	0.0	4.097517	1.9310809	2.306094	1.9885373
0.0	2.7158468	0.0	2.6516917	3.0603724	0.0	3.8743725	4.2483635	2.4409423	0.31837368	2.1377003	0.2627376	0.0	0.3754884	4.6680956	2.3120842
0.0	1.7898536	0.0	1.7452922	2.2020807	2.460722	2.8306136	3.9408622	1.5248227	0.0	3.522158	0.8206692	0.22763264	0.0	4.155389	2.4711614
0.1818509	2.869319	0.0	1.1907328	1.3368826	1.5303158	3.3746006	2.8837857	4.016363	0.5017104	2.8037772	2.6410856	0.8409363	0.2250615	2.420638	5.7948446
6.804083	0.0	3.5286627	0.53463966	0.23685265	1.3861067	0.0	0.0	4.0212116	4.5017385	1.8955613	4.912021	0.0	2.67982	0.0	2.466024
4.425854	1.2888814	0.0	2.2533662	0.0	2.9696763	1.8359711	0.0	3.8240564	3.1468706	3.4701743	3.218638	0.27426118	1.2963274	0.0	7.2329855
5.477758	3.2125113	1.58712	0.93624794	1.1506202	0.0	1.2256963	0.0	2.9427898	2.7547643	1.2392646	3.5232208	0.0	1.79567	0.0	6.500102
4.299738	1.7142695	0.0	1.0079541	0.0	3.2553203	1.3874975	0.0	3.9700346	3.5232918	2.8208659	4.0429063	0.5423118	0.730367	0.0	5.448212
4.141823	1.0813801	0.0	0.79380566	0.0	4.110007	0.85960555	0.0	3.8466587	3.4258823	3.5187593	3.414054	0.8140705	0.15579167	0.0	4.8946176
3.3592625	0.9766958	0.0	1.801044	0.0	4.551364	0.67207503	0.0	3.294653	3.43837	3.805262	3.177981	0.81823426	0.2939683	0.0	5.096143
4.439687	0.9256486	0.0	0.4825693	0.0	3.528329	0.31637442	0.0	3.9286747	3.9179943	3.2498095	3.7562914	0.46973306	0.6706135	0.0	4.7125587
6.864838	0.0	4.457632	0.94113195	1.5056562	1.4166662	0.0	0.0	4.2404814	4.5715322	2.1578782	4.3614993	0.0	3.2595568	0.0	3.123354
8.730242	0.0	5.7350793	0.0	3.3586102	2.084887	0.0	0.0	4.7567635	4.3418107	1.9063965	4.136109	1.3234825	0.33575776	0.0	0.0
5.8654003	0.23941433	4.204654	2.0160189	0.0	2.0874689	0.0	0.0	2.2477784	4.3309836	3.004444	3.816019	0.43225175	2.2853153	0.0	4.865727
5.739894	0.0	0.0	1.8558807	0.0	2.5009205	1.1368494	0.0	3.6544573	3.1346078	2.4557443	4.1395044	0.6329007	2.1008554	0.0	6.7817435
5.0701303	1.2272182	0.7573273	1.5699325	0.0	2.7145624	1.5663472	0.0	2.9822414	0.5719491	3.0516918	4.1868405	3.0486498	3.894137	0.0	5.0434194
4.078246	1.8998082	0.0	3.663025	0.6052747	2.1672952	2.3820796	0.0	1.7587092	2.0312247	1.4332716	2.917823	1.8368564	1.5369833	0.0	6.0909667
2.3737316	1.942987	0.0	3.290719	1.4689581	1.4181437	3.514801	0.0	0.43484366	0.0	1.1999422	3.5802574	1.8880271	2.926293	0.0	3.9600315
1.6661495	1.707769	0.0	3.525297	1.79657	0.53431714	3.7889595	0.0	0.0	0.0	0.917857	3.7849724	2.542404	4.1867676	0.0	2.7967017
3.5104463	1.9683757	0.0	4.043886	0.0	0.20261943	2.6121268	1.1414008	0.0	0.0	0.0	2.8761625	2.6483302	2.831618	0.0	3.7758818
